source,conditionName,sentence,newTagL1,newTagL2,newTagL3,reviewedTag
MAYO,ACL injury,"When the ligament is damaged, there is usually a partial or complete tear of the tissue.",DECLINE,FAST,FROM 1 YEAR TO MORE YEAR,DECLINE FAST FROM 1 YEAR TO MORE YEAR
MAYO,ACL injury,ACL injuries often happen during sports and fitness activities that can put stress on the knee:,IMPROVE,FAST,FROM 1 YEAR TO MORE YEAR,IMPROVE FAST FROM 1 YEAR TO MORE YEAR
MAYO,ACL injury,A mild injury may stretch the ligament but leave it intact.,IMPROVE,FAST,FROM 1 YEAR TO MORE YEAR,IMPROVE FAST FROM 1 YEAR TO MORE YEAR
MAYO,ACL injury,General rest is necessary for healing and limits weight bearing on your knee.,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
MAYO,ACL injury,Recent research indicates that up to one-third of athletes sustain another tear in the same or opposite knee within two years.,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR
MAYO,ACL injury,"In general, it takes as long as a year or more before athletes can safely return to play.",IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR
MAYO,ACL injury,There's no set time frame for athletes to return to play.,PERMANENT,,,PERMANENT
MAYO,ARDS,Severe shortness of breath — the main symptom of ARDS — usually develops within a few hours to a few days after the precipitating injury or infection.,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK,IMPROVE FAST FROM 1 DAY TO 1 WEEK
MAYO,ARDS,This painless test tracks the electrical activity in your heart.,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
MAYO,ARDS,"Many people with ARDS recover most of their lung function within several months to two years, but others may have breathing problems for the rest of their lives.",IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR
MAYO,Abdominal aortic aneurysm,Women who have never smoked generally don't need to be screened for the condition.,IMPROVE,FAST,FROM 1 YEAR TO MORE YEAR,IMPROVE FAST FROM 1 YEAR TO MORE YEAR
NHS,Abdominal aortic aneurysm,"You'll usually stay in hospital for 7 to 10 days after the operation, and it will take a few weeks or months to fully recover.",IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH
MAYO,Abdominal aortic aneurysm,Full recovery is likely to take a month or more.,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH
NHS,Abdominal aortic aneurysm,"You'll normally stay in hospital for 2 or 3 days after the operation, and it can take a few weeks or months to fully recover.",IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH
NHS,Abdominal aortic aneurysm screening,Screening for AAA involves a quick and painless ultrasound scan of your tummy.,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
