L1,L2,L3,conditionName,confidence,sentence,source,support CNL1L2L3,support L1L2L3,predictedTag
IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,ACL injury,0.007272727272727274,Recent research indicates that up to one-third of athletes sustain another tear in the same or opposite knee within two years.,MAYO,0.00037893141341417203,0.05210306934444865,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR
PERMANENT,,,ACL injury,0.0011235955056179776,There's no set time frame for athletes to return to play.,MAYO,0.00018946570670708602,0.16862447896930655,PERMANENT
IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,ARDS,0.003636363636363637,"Many people with ARDS recover most of their lung function within several months to two years, but others may have breathing problems for the rest of their lives.",MAYO,0.00018946570670708602,0.05210306934444865,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR
IMPROVE,FAST,FROM 1 DAY TO 1 WEEK,ARDS,0.0035211267605633804,Severe shortness of breath — the main symptom of ARDS — usually develops within a few hours to a few days after the precipitating injury or infection.,MAYO,0.00018946570670708602,0.053808260704812434,IMPROVE FAST FROM 1 DAY TO 1 WEEK
IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH,Abdominal aortic aneurysm,0.0031695721077654514,Full recovery is likely to take a month or more.,MAYO,0.00037893141341417203,0.11955286093217128,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH
IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH,Abdominal aortic aneurysm,0.0025062656641604013,"You'll usually stay in hospital for 7 to 10 days after the operation, and it will take a few weeks or months to fully recover.",NHS,0.00018946570670708602,0.07559681697612733,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH
IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,Abdominal aortic aneurysm screening,0.0030303030303030303,Screening for AAA involves a quick and painless ultrasound scan of your tummy.,NHS,0.0005683971201212581,0.1875710496400152,IMPROVE FAST FROM 5 MINUTE TO 1 DAY
PERMANENT,,,Abdominal aortic aneurysm screening,0.0011235955056179776,"There's no risk from the screening test itself, but there's a risk of:",NHS,0.00018946570670708602,0.16862447896930655,PERMANENT
IMPROVE,FAST,FROM 1 DAY TO 1 WEEK,Abscess,0.0035211267605633804,"This procedure may be carried out as a day case procedure, which means you'll be able to go home the same day, although some people will need to stay in hospital for a few days.",NHS,0.00018946570670708602,0.053808260704812434,IMPROVE FAST FROM 1 DAY TO 1 WEEK
IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH,Absence seizure,0.0015847860538827257,"An indication of simple absence seizure is a vacant stare, which may be mistaken for a lapse in attention that lasts about 10 seconds, though it may last as long as 20 seconds, without any confusion, headache or drowsiness afterward.",MAYO,0.00018946570670708602,0.11955286093217128,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH
PERMANENT,,,Absence seizure,0.0011235955056179776,"Then, there is a quick return to a normal level of alertness.",MAYO,0.00018946570670708602,0.16862447896930655,PERMANENT
DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,Achalasia,0.01060070671378092,Achalasia symptoms generally appear gradually and worsen over time.,MAYO,0.0005683971201212581,0.05361879499810535,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR
IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,Achalasia,0.003636363636363637,"It is usually effective for a few months and occasionally for a few years, but it has to be repeated",NHS,0.00018946570670708602,0.05210306934444865,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR
IMPROVE,MODERATELY,FROM 6 MONTH TO 1 YEAR,Achilles tendon rupture,0.021739130434782608,Most people return to their former level of activity within four to six months.,MAYO,0.00018946570670708602,0.008715422508525956,IMPROVE MODERATELY FROM 6 MONTH TO 1 YEAR
IMPROVE,SLOWLY,FROM 6 MONTH TO 1 YEAR,Achilles tendon rupture,0.006493506493506493,It's important to continue strength and stability training after that because some problems can persist for up to a year.,MAYO,0.00018946570670708602,0.02917771883289125,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR
IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,Acid and chemical burns,0.003636363636363637,More severe and deeper burns can take months or even years to fully heal and usually leave some visible scarring,NHS,0.00018946570670708602,0.05210306934444865,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR
