source,condition,url,fr0,fr1,fr2,fr3,fr4,fr5,fr6,fr7,fr2DET,fr3DET,fr4DET,fr6DET,fr7DET,Sentence,fr0ORI,fr1ORI,fr3ORI,fr4ORI,fr6ORI,fr7ORI,CEsnippet
MAYO,Abdominal aortic aneurysm,,IMPROVE,MODERATELY,FROM,8,DAY,TO,2,MONTH,,1,MONTH,,MONTH,Full recovery is likely to take a month or more.,IMPROVE,FAST,30.44,DAY,30.44,DAY,Full recovery is likely to take a month or more
NHS,Abdominal aortic aneurysm,,IMPROVE,FAST,FROM,5,MINUTE,TO,1,DAY,QUICK,FEW,MINUTES,FEW,MINUTES,"The screening test is very quick, painless and reliable",IMPROVE,IMMEDIATELY,0.0035,DAY,0.0035,DAY,"The screening test is very quick, painless and reliable"
NHS,Abdominal aortic aneurysm,,IMPROVE,FAST,FROM,5,MINUTE,TO,1,DAY,TAKE,FEW,MINUTES,FEW,MINUTES,The test involves a quick and painless ultrasound scan to see how big your aorta is.,NONE,,,,,,The test involves a quick and painless ultrasound scan to see how big your aorta is.
NHS,Abdominal aortic aneurysm,,IMPROVE,MODERATELY,FROM,2,MONTH,TO,6,MONTH,WITHIN,FEW,WEEK,FEW,MONTH,"You'll normally stay in hospital for 2 or 3 days after the operation, and it can take a few weeks or months to fully recover.",IMPROVE,MODERATELY,21,DAY,91.31,DAY,it can take a few weeks or months to fully recover.
NHS,Abdominal aortic aneurysm,,IMPROVE,MODERATELY,FROM,2,MONTH,TO,6,MONTH,WITHIN,FEW,WEEK,FEW,MONTH,"You'll usually stay in hospital for 7 to 10 days after the operation, and it will take a few weeks or months to fully recover.",IMPROVE,MODERATELY,21,DAY,91.31,DAY,it will take a few weeks or months to fully recover.
NHS,Abdominal aortic aneurysm,,NONE,,,,,,,,,,,,,5cm to 5,NONE,,,,,,5cm to 5
MAYO,Abdominal aortic aneurysm,,NONE,,,,,,,,,,,,,"Depending on the size of the aneurysm and how fast it's growing, treatment varies from watchful waiting to emergency surgery.",NONE,,,,,,"Depending on the size of the aneurysm and how fast it's growing, treatment varies from watchful waiting to emergency surgery."
MAYO,Abdominal aortic aneurysm,,NONE,,,,,,,,,,,,,Expect to have an abdominal ultrasound at least six months after your aneurysm is diagnosed and at regular follow-up exams,NONE,,,,,,Expect to have an abdominal ultrasound at least six months after your aneurysm is diagnosed and at regular follow-up exams
MAYO,Abdominal aortic aneurysm,,NONE,,,,,,,,,,,,,"Focus on eating a variety of fruits and vegetables, whole grains, poultry, fish and low-fat dairy products",NONE,,,,,,"Focus on eating a variety of fruits and vegetables, whole grains, poultry, fish and low-fat dairy products"
MAYO,Abdominal aortic aneurysm,,NONE,,,,,,,,,,,,,Having a family history of abdominal aortic aneurysms increases your risk of having the condition,NONE,,,,,,Having a family history of abdominal aortic aneurysms increases your risk of having the condition
